disbDate,count
2015-01-21,78
2015-01-22,74
2015-01-23,288
2015-01-24,327
2015-01-27,330
2015-01-28,545
2015-01-29,627
2015-01-30,562
2015-01-31,481
2015-02-02,54
2015-02-03,619
2015-02-04,617
2015-02-05,740
2015-02-06,711
2015-02-07,289
2015-02-09,37
2015-02-10,19
2015-02-11,15
2015-02-12,19
2015-02-13,17
2015-02-14,11
2015-02-17,22
2015-02-18,22
2015-02-19,27
2015-02-20,20
2015-02-21,12
2015-02-24,32
2015-02-25,23
2015-02-26,9
2015-02-27,33
2015-02-28,108
2015-03-01,2
2015-03-02,55
2015-03-03,339
2015-03-04,285
2015-03-05,374
2015-03-06,82
2015-03-07,112
2015-03-09,10
2015-03-10,20
2015-03-11,13
2015-03-12,5
2015-03-13,6
2015-03-14,5
2015-03-15,3
2015-03-17,205
2015-03-18,79
2015-03-19,9
2015-03-20,9
2015-03-21,20
2015-03-23,62
2015-03-24,64
2015-03-25,72
2015-03-26,78
2015-03-27,90
2015-03-28,443
2015-03-30,520
2015-03-31,4930
2015-04-01,5
2015-04-02,21
2015-04-06,21
2015-04-07,426
2015-04-08,223
2015-04-09,29
2015-04-10,441
2015-04-11,1340
2015-04-13,2
2015-04-14,9
2015-04-15,209
2015-04-16,1666
2015-04-17,1453
2015-04-18,1512
2015-04-20,89
2015-04-21,261
2015-04-22,182
2015-04-23,257
2015-04-24,1185
2015-04-25,1066
2015-04-27,30
2015-04-28,602
2015-04-29,442
2015-04-30,356
2015-05-01,16
2015-05-04,1
2015-05-05,26
2015-05-06,14
2015-05-07,24
2015-05-08,20
2015-05-09,20
2015-05-11,1
2015-05-12,19
2015-05-13,11
2015-05-14,13
2015-05-15,194
2015-05-16,240
2015-05-17,2
2015-05-18,48
2015-05-19,282
2015-05-20,577
2015-05-21,683
2015-05-22,479
2015-05-23,404
2015-05-25,2
2015-05-26,318
2015-05-27,257
2015-05-28,250
2015-05-29,233
2015-05-30,249
2015-06-01,9
2015-06-02,399
2015-06-03,197
2015-06-04,309
2015-06-05,557
2015-06-06,368
2015-06-08,40
2015-06-09,63
2015-06-10,62
2015-06-11,26
2015-06-12,30
2015-06-13,26
2015-06-15,7
2015-06-16,23
2015-06-17,237
2015-06-18,207
2015-06-19,155
2015-06-20,197
2015-06-21,1
2015-06-22,1
2015-06-23,305
2015-06-24,222
2015-06-25,47
2015-06-26,38
2015-06-27,256
2015-06-30,270
2015-07-01,163
2015-07-02,353
2015-07-03,322
2015-07-04,494
2015-07-06,2
2015-07-07,351
2015-07-08,329
2015-07-09,475
2015-07-10,475
2015-07-11,503
2015-07-12,2
2015-07-13,16
2015-07-14,76
2015-07-15,82
2015-07-16,86
2015-07-17,78
2015-07-19,1
2015-07-20,10
2015-07-21,58
2015-07-22,395
2015-07-23,505
2015-07-24,1207
2015-07-25,1254
2015-07-26,1
2015-07-27,105
2015-07-28,1245
2015-07-29,725
2015-07-30,171
2015-07-31,1534
2015-08-01,1804
2015-08-02,2
2015-08-03,13
2015-08-04,212
2015-08-05,103
2015-08-06,88
2015-08-07,76
2015-08-08,501
2015-08-10,11
2015-08-11,1251
2015-08-12,1257
2015-08-13,2392
2015-08-14,2155
2015-08-15,1
2015-08-16,1
2015-08-17,72
2015-08-18,1913
2015-08-19,962
2015-08-20,732
2015-08-21,741
2015-08-22,738
2015-08-23,2
2015-08-24,136
2015-08-25,1333
2015-08-26,894
2015-08-27,816
2015-08-28,760
2015-08-29,708
2015-08-31,81
2015-09-01,1326
2015-09-02,989
2015-09-03,1051
2015-09-04,149
2015-09-05,9
2015-09-07,13
2015-09-08,310
2015-09-09,160
2015-09-10,199
2015-09-11,3734
2015-09-12,1649
2015-09-14,221
2015-09-15,2096
2015-09-16,1405
2015-09-17,52
2015-09-18,302
2015-09-19,265
2015-09-21,33
2015-09-22,2423
2015-09-23,4044
2015-09-24,873
2015-09-25,2455
2015-09-26,2348
2015-09-28,204
2015-09-29,198
2015-09-30,9
2015-10-01,5049
2015-10-02,1
2015-10-05,1022
2015-10-06,6613
2015-10-07,7415
2015-10-08,7788
2015-10-09,8976
2015-10-10,2626
2015-10-12,698
2015-10-13,4229
2015-10-14,6143
2015-10-15,2682
2015-10-16,1359
2015-10-17,1120
2015-10-19,717
2015-10-20,5873
2015-10-21,1120
2015-10-22,1
2015-10-26,842
2015-10-27,665
2015-10-28,911
2015-10-29,1107
2015-10-30,1256
2015-10-31,2532
2015-11-02,418
2015-11-03,1710
2015-11-04,958
2015-11-05,1060
2015-11-06,1441
2015-11-07,1263
2015-11-09,247
2015-11-10,257
2015-11-11,1
2015-11-12,34
2015-11-13,511
2015-11-14,2190
2015-11-16,9
2015-11-17,176
2015-11-18,1517
2015-11-19,1738
2015-11-20,205
2015-11-21,342
2015-11-23,257
2015-11-24,2805
2015-11-25,1263
2015-11-26,950
2015-11-27,801
2015-11-28,1832
2015-11-30,376
2015-12-01,4619
2015-12-02,5543
2015-12-03,6283
2015-12-04,5798
2015-12-05,4222
2015-12-07,249
2015-12-08,851
2015-12-09,398
2015-12-10,72
2015-12-11,93
2015-12-12,1946
2015-12-14,9
2015-12-15,101
2015-12-16,74
2015-12-17,74
2015-12-18,75
2015-12-19,71
2015-12-21,5
2015-12-22,37
2015-12-23,40
2015-12-24,7
2015-12-25,2
2015-12-28,13
2015-12-29,23
2015-12-30,66
2015-12-31,43
2016-01-01,16
2016-01-04,771
2016-01-05,7984
2016-01-06,7584
2016-01-07,7259
2016-01-08,7184
2016-01-09,2528
2016-01-11,5771
2016-01-12,6565
2016-01-13,5546
2016-01-14,664
2016-01-15,704
2016-01-16,464
2016-01-18,544
2016-01-19,1782
2016-01-20,3371
2016-01-21,3997
2016-01-22,3374
2016-01-23,1695
2016-01-25,5
2016-01-26,4
2016-01-27,905
2016-01-28,969
2016-01-29,2417
2016-01-30,2070
2016-02-01,143
2016-02-02,2720
2016-02-03,3193
2016-02-04,3657
2016-02-05,3634
2016-02-06,2548
2016-02-08,114
2016-02-09,2641
2016-02-10,2564
2016-02-11,2573
2016-02-12,2487
2016-02-13,2822
2016-02-15,231
2016-02-16,3261
2016-02-17,2908
2016-02-18,3020
2016-02-19,2358
2016-02-20,2875
2016-02-22,500
2016-02-23,4117
